,word,sentiment_score,sentiment_label,sadness,joy,fear,disgust,anger
90,that's  it's  all  taken  one. ,0,neutral,0.168713,0.103384,0.102956,0.080931,0.159865
91,love  it. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
92,You  had  an  issue  with  before ,-0.565416,negative,0.0,0.0,0.0,0.0,0.0
93,"you  should  before  was  that  I'd  like  to  see  us  go  in, ",0,neutral,0.197856,0.419839,0.110394,0.091438,0.094732
94,let  the  group  be  a  punk  group  process. ,0,neutral,0.300469,0.09193,0.072688,0.235494,0.328807
95,That's  not  what  they  ask  us  for. ,0,neutral,0.257354,0.148282,0.099922,0.091256,0.180383
96,How  do  you  know  that? ,0,neutral,0.0,0.0,0.0,0.0,0.0
97,"told  me  they  want  us  to  teach, ",0.756425,positive,0.250268,0.159978,0.038672,0.088772,0.204495
98,"uh, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
99,"some  workshops  on  communication, ",0,neutral,0.366226,0.263383,0.08301,0.027079,0.036529
100,right? ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
101,Workshops  and  communication  in  different  than  groups  on  communication ,0,neutral,0.400349,0.231785,0.067147,0.036735,0.054643
102,"are  bullets  to  even  workshop  on  communication  doesn't  necessarily  mean  they  have  to  come  out  with  what  concrete  information  are  they  do, ",-0.423704,negative,0.131473,0.310381,0.219996,0.134347,0.101617
103,why  they're ,-0.569568,negative,0.0,0.0,0.0,0.0,0.0
104,going  to  be  learning  a  process  you  wanted  to  work  on  the  behavioral. ,0,neutral,0.245945,0.153941,0.124283,0.01538,0.137904
105,"uh, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
106,"the  thing  I  think  is  more  important  isn't  that  knowledge  that  they  have  but  the, ",0,neutral,0.126004,0.47877,0.166805,0.047479,0.11374
107,they  are  getting  certain  techniques  and  that's  knowledge. ,0.791746,positive,0.080357,0.352343,0.224959,0.113505,0.11969
108,"Well, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
109,"I, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
110,"but  it's  just, ",0.372696,positive,0.0,0.0,0.0,0.0,0.0
111,"I  still  think  of  mean, ",0,neutral,0.378122,0.105613,0.185607,0.104164,0.138081
112,"I  do, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
113,I  just  like  to  know  your  plan. ,0,neutral,0.289695,0.087599,0.090728,0.050742,0.086067
114,I  don't  have  your  plan  yet. ,-0.564182,negative,0.216717,0.086963,0.182755,0.034552,0.072928
115,Did  you  get  a  chance  to  read  the  chapters? ,0,neutral,0.204429,0.332651,0.107522,0.077382,0.057815
116,"Did  the  five  pizzas, ",0,neutral,0.144388,0.26431,0.04938,0.035507,0.177299
117,Simon  finished  a  look  at  that. ,0,neutral,0.202902,0.580802,0.037645,0.049099,0.06838
118,"Yeah, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
119,"but  I  just  too, ",0.532732,positive,0.0,0.0,0.0,0.0,0.0
120,"the  problem  is  also  the  problem  is  that  if  we  come  in  with  our  agenda, ",-0.732781,negative,0.57117,0.01542,0.240655,0.177487,0.16076
121,"if  we  really  talk, ",0.46948,positive,0.44083,0.16824,0.267956,0.12273,0.240656
122,if  it  turns  out  that  there'd  be  this  one  couple  and  we  can ,0.799505,positive,0.284658,0.280626,0.157247,0.053176,0.176259
123,"discard  some  of  that, ",0,neutral,0.0,0.0,0.0,0.767442,0.0
124,obviously  we  find  out  what  they  need ,0,neutral,0.224257,0.160224,0.115776,0.2483,0.221149
125,or  are  asking  for  or  could  benefit  from. ,0,neutral,0.109991,0.321417,0.111775,0.056095,0.036301
126,"Then  if  we  do  all  that  planning  ahead  of  time, ",0.592641,positive,0.133664,0.46518,0.028254,0.04768,0.04816
127,we  want  to  use  it. ,0,neutral,0.19664,0.079343,0.062237,0.075453,0.146791
128,use  some  time. ,0,neutral,0.193808,0.192536,0.056237,0.078047,0.092557
129,"But  I'm  saying  at  this  point, ",-0.523155,negative,0.560133,0.115445,0.075316,0.091746,0.315924
130,"I  just, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
131,I  don't  know. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
132,"I, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
133,I'm  wondering  whether  investing  all  of  that  emotional  energy  and  upon ,0.334006,positive,0.066943,0.790431,0.08385,0.014567,0.037231
134,"emotional  and  energy, ",0.656383,positive,0.208127,0.703159,0.029511,0.009824,0.062922
135,"it's  just  knowing  what  you're  going  to  do, ",0,neutral,0.193056,0.117874,0.158597,0.064286,0.154204
136,but  it  gets  to  the  emotional  energy  between  us. ,0.685697,positive,0.278153,0.61597,0.037622,0.013874,0.082998
137,I  think  the  problem  is  is  there's  not  the  time  this week  and  it's  just  a  bad  week  in  terms  of  timing. ,-0.956952,negative,0.737935,0.01918,0.224831,0.119719,0.145032
138,I  agree  with  that  and  it's  not ,-0.373714,negative,0.043256,0.589616,0.041939,0.328334,0.037202
139,first  on  your  mind. ,0,neutral,0.119332,0.647642,0.061735,0.052252,0.069089
140,It's  on  first  in  my  mind. ,0,neutral,0.116192,0.652159,0.060348,0.052355,0.070377
141,"No, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
142,"it's  not  first  time  my  mind  saying  I, ",-0.788753,negative,0.334065,0.329007,0.132484,0.096882,0.161055
143,"I  feel  like, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
144,"yeah, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
145,I  can  go  through  in  those  surveys  that  I  had  mentioned. ,0,neutral,0.346712,0.137232,0.358773,0.118404,0.046078
146,Sure. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
147,I  think  it's  just  important  to  know  what  we're  going  to  do  the  first  week. ,0.700167,positive,0.198172,0.392108,0.14862,0.064623,0.132166
148,That's  all. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
149,But  I  agree. ,0.931598,positive,0.0,0.0,0.0,0.0,0.0
150,"Obviously  if  they  have  one  couple, ",0,neutral,0.130115,0.415297,0.055416,0.159334,0.307248
151,it's  different  than  if  you  have  a  whole  to  five  or  10  or  whatever  eyes. ,0,neutral,0.204102,0.356964,0.11544,0.037378,0.307747
152,Right. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
153,"Well, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
154,I  told  her  no  more  than  whatever  I  said  three  or  four  couples. ,-0.674403,negative,0.194124,0.403803,0.066122,0.019374,0.312739
155,"Oh, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
156,is  that  only  one? ,0,neutral,0.0,0.0,0.0,0.0,0.0
157,eight  people. ,0,neutral,0.397908,0.171197,0.085723,0.225015,0.185905
158,"Oh, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
159,okay. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
160,I  thought  it  was  up  to  10 ,0,neutral,0.0,0.0,0.0,0.0,0.0
161,while  I'm  on  can  maybe  even  a  10. ,0,neutral,0.420449,0.148486,0.200442,0.130488,0.095555
162,But  I  think  I  tried  to  concentrate  on  a  smaller  group ,0,neutral,0.353171,0.148031,0.214283,0.060395,0.268716
163,and  she  didn't  want  to  come. ,-0.717765,negative,0.177845,0.243638,0.144678,0.066429,0.091264
164,Didn't  she  have  a  fiance  or  something? ,0,neutral,0.057124,0.219133,0.021488,0.053077,0.043802
165,She  didn't  mention  herself. ,0,neutral,0.148831,0.179551,0.091248,0.074744,0.088473
166,"the  second  couple  of  cheating, ",-0.880798,negative,0.354513,0.043424,0.17546,0.403458,0.337223
167,give  me  the  details  on  the  second  couple  that  were  talking  about  <inaudible>. ,0,neutral,0.095209,0.263149,0.064934,0.035867,0.076932
168,"She  just  mentioned  this, ",0,neutral,0.0,0.0,0.0,0.0,0.0
169,"she  made  the  announcement  in  this  one  couple, ",0,neutral,0.165273,0.136395,0.074681,0.018259,0.175785
170,"so  yeah, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
171,we  want  to  do  it. ,0,neutral,0.916667,0.0,0.0,0.0,0.0
172,"did  she  now  to, ",0,neutral,0.0,0.0,0.0,0.0,0.0
173,what  was  her  set  up  for? ,0,neutral,0.0,0.0,0.0,0.0,0.0
174,That ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
175,machine  must've  announced. ,0.684112,positive,0.070606,0.257814,0.090195,0.066883,0.238756
176,I  don't  know. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
177,"What  did  she  say, ",0,neutral,0.0,0.0,0.0,0.0,0.0
178,what  we  were  going  to ,0,neutral,0.0,0.0,0.0,0.0,0.0
179,do  with  that  or  be  a  couple's ,0,neutral,0.0,0.0,0.0,0.0,0.0
180,communication. ,0,neutral,0.0,0.0,0.0,0.0,0.0
181,Okay. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
182,"where  she  knows  whether  to  the  congregation  at  the  service, ",0,neutral,0.054873,0.241622,0.04606,0.02969,0.087157
183,"whether  they've  hit  a  tear  or  whether  they  did  it  in  they  own  their, ",-0.416255,negative,0.376913,0.156036,0.258023,0.021617,0.214727
184,I'm  not  sure  I  should  add  that. ,-0.718066,negative,0.043632,0.192296,0.074666,0.025943,0.081148
185,"Um, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
186,"now  you  said  this  couple, ",0,neutral,0.261305,0.431674,0.146996,0.061131,0.124549
187,"they're  both, ",0,neutral,0.0,0.0,0.0,0.0,0.0
188,they're  re  married. ,0,neutral,0.0,0.0,0.0,0.0,0.0
189,It's  three  married  couple ,0,neutral,0.133454,0.35303,0.085648,0.034832,0.164064
190,that's  going  to  be  a  re  marriage. ,0,neutral,0.161352,0.439706,0.09747,0.068405,0.132488
191,So  they're  not  married  yet? ,0,neutral,0.045199,0.078273,0.09429,0.100284,0.222642
192,No. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
193,<inaudible>  month. ,-0.643576,negative,0.507751,0.279202,0.039207,0.077589,0.075837
194,We're  not  going  to  do  it. ,-0.883973,negative,0.099306,0.152385,0.090685,0.08364,0.125313
195,<inaudible> ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
196,or  something. ,0,neutral,0.0,0.0,0.0,0.0,0.0
197,Yeah. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
198,The  premarital  counseling. ,0,neutral,0.143079,0.33227,0.105162,0.051413,0.05984
199,"That's  maybe  with, ",0,neutral,0.0,0.0,0.0,0.0,0.0
200,"maybe  the  other  couples, ",0,neutral,0.158712,0.245289,0.202315,0.031133,0.099393
201,a  young  couple  that  was  doing  premarital  constantly. ,-0.648646,negative,0.565994,0.126018,0.133537,0.023256,0.295457
202,"Maybe  that's  what  they  were, ",0,neutral,0.0,0.0,0.0,0.0,0.0
203,the  second  couple ,0,neutral,0.168676,0.490465,0.077214,0.0494,0.095374
204,that  wanted  to  come  in. ,0,neutral,0.284919,0.160707,0.118451,0.06006,0.130948
205,That  couldn't  be  there. ,-0.63587,negative,0.148831,0.179551,0.091248,0.074744,0.088473
206,Maybe  that's  what's  going  on  with  them. ,0,neutral,0.287209,0.103376,0.234992,0.055992,0.126843
207,so  that'd  be  real  different  ends  of  the  spectrum ,0,neutral,0.401422,0.204619,0.142701,0.078506,0.132901
208,to  you. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
209,"So  what  is  for  me  to  help  it  work  us  this weekend, ",0,neutral,0.208345,0.332447,0.124345,0.007634,0.029734
210,an  idea  of  a  framework. ,0,neutral,0.148647,0.365844,0.092706,0.081455,0.065322
211,"I  just  want  to  know  what  we're, ",0,neutral,0.104872,0.058118,0.192805,0.083374,0.164581
212,"what  the  general  framework  was, ",0,neutral,0.168475,0.180969,0.086461,0.077752,0.116017
213,which  we  already  discussed. ,0,neutral,0.453309,0.07035,0.154924,0.182935,0.11803
214,That  was  gonna  be  a  requirement. ,0,neutral,0.115736,0.020271,0.055867,0.03487,0.029515
215,"Um, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
216,"and  we  needed  to  know  whether  it  was  going  to  be  three  or  four  weeks  and  also, ",0,neutral,0.180065,0.368152,0.178891,0.022972,0.101589
217,"um, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
218,just  while  we're  starting  off  with  secondarily  really  concentrate  on  that. ,-0.573123,negative,0.206959,0.223965,0.220809,0.06123,0.294311
219,So  just ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
220,wanted  to  know  general  direction  going  in  and  you  would  do  all  that  behavioral  stuff  pretty  much. ,0.709368,positive,0.285085,0.314519,0.175528,0.056151,0.096561
221,"But  if  we  just  have  one  couple  of  them, ",0,neutral,0.126913,0.486321,0.138146,0.027175,0.108955
222,obviously  we  would  take  a  different  tack. ,0.692875,positive,0.252969,0.107417,0.086665,0.222877,0.267878
223,That's  no  province  you're  going  to  plan  differently  usually  for  three  or  four. ,0,neutral,0.156585,0.16057,0.147113,0.018917,0.149856
224,Then  one  is  really  focusing  on  what  I  want. ,0.880439,positive,0.361561,0.437191,0.137063,0.033655,0.046366
225,"They  want  to  say, ",0,neutral,0.234329,0.402973,0.153055,0.049282,0.090209
226,"right, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
227,we  switched  topics. ,0,neutral,0.305941,0.121604,0.045985,0.028525,0.065533
228,I'm  losing  energy  on  this  one. ,-0.970125,negative,0.624396,0.047413,0.36438,0.042702,0.191214
229,"I  didn't  think, ",-0.747958,negative,0.164527,0.151539,0.102866,0.072571,0.090183
230,"I  don't  think  we're, ",-0.538336,negative,0.053124,0.106905,0.09961,0.088879,0.199407
231,okay. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
232,"Well, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
233,"I  don't  think  you  don't, ",-0.768358,negative,0.164527,0.151539,0.102866,0.072571,0.090183
234,"we're  in  disagreement, ",0,neutral,0.916667,0.0,0.0,0.0,0.931034
235,much  disagreement  as  you  thought. ,-0.525295,negative,0.208016,0.129229,0.122828,0.066714,0.486812
236,I  don't  know. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
237,"I  just, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
238,"I  think  we're  still  in  disagreement  about, ",-0.652836,negative,0.108063,0.098854,0.179625,0.044865,0.364146
239,"know  what  we're  going  to, ",0,neutral,0.193056,0.117874,0.158597,0.064286,0.154204
240,what  our  plan  is. ,0,neutral,0.0,0.0,0.0,0.0,0.0
241,Right. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
242,But  I  don't  see  the  function  of  what  we're  doing  is  to  impart  knowledge. ,0.589552,positive,0.122778,0.227849,0.08457,0.047963,0.153425
243,obviously  your  party  knowledge ,0.799072,positive,0.108646,0.518207,0.040554,0.143556,0.255026
244,"about, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
245,that's  not  the  direct  thing. ,-0.747871,negative,0.19484,0.456525,0.198233,0.03489,0.15963
246,"They  were  trying  to  get  them  to  come  out  of  there  with, ",0,neutral,0.427002,0.058081,0.396145,0.055878,0.279362
247,well  that's  all  part  of  it  is  skills. ,0.899826,positive,0.143732,0.309902,0.0402,0.011211,0.043923
248,"Skills, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
249,our  knowledge. ,0.909315,positive,0.0,0.0,0.0,0.0,0.0
250,But  it's ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
251,not  a  tee  shirt. ,-0.807618,negative,0.143605,0.224021,0.058741,0.060831,0.061829
252,"That  is, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
253,"no, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
254,is  it  dry? ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
255,I  think  we  ought  to  like  show  that. ,0.500125,positive,0.143752,0.167895,0.189353,0.215086,0.064244
256,"No, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
257,I  don't  want  to  do  that. ,-0.730402,negative,0.164527,0.146804,0.1403,0.072571,0.090183
258,Wow. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
259,I  don't  know  that  we  are. ,-0.624611,negative,0.188315,0.144048,0.102866,0.072571,0.111274
260,"No, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
261,I  am  awake. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
262,I  just  think  that  that's  just  not  their  jam  yet. ,-0.838628,negative,0.25451,0.152517,0.298823,0.10575,0.080679
263,we  switched  for  a same year. ,0,neutral,0.496079,0.154963,0.034655,0.017703,0.044536
264,We  come  back  to  that. ,0,neutral,0.228341,0.340118,0.118247,0.045416,0.088496
265,"Um, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
266,yeah. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
267,I  don't  think  the  folks  mean  anything. ,-0.668802,negative,0.630914,0.065314,0.132804,0.106626,0.208588
268,"Well, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
269,it's  switching  topics. ,0,neutral,0.305941,0.121604,0.045985,0.028525,0.065533
270,Hello? ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
271,"Um, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
272,that's  just  their  style. ,0.585267,positive,0.0,0.0,0.0,0.0,0.0
273,I  know  that. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
274,And  they're  not  as  interactive  as  your  folks. ,-0.853399,negative,0.222697,0.283738,0.091948,0.221673,0.333862
275,know  all  that. ,0,neutral,0.0,0.0,0.0,0.0,0.0
276,"so  then  what  I'd  like  to  see  it  be  less  stressful  about, ",-0.549114,negative,0.300174,0.069861,0.315874,0.136392,0.448277
277,"Oh, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
278,I  don't  think  it's  stressful  most  of  the  time. ,-0.93414,negative,0.263615,0.029279,0.308047,0.067067,0.624968
279,"it  sounded  pretty  stressful  when  you  said, ",-0.939716,negative,0.225838,0.23917,0.202887,0.126927,0.42246
280,when  my  brother  wanted  to  set  up  mother's  day  going  to  do  it. ,0,neutral,0.086125,0.710379,0.046775,0.008741,0.17074
281,"I  didn't  want  her  setting  up, ",-0.782448,negative,0.110756,0.170829,0.100069,0.019262,0.125946
282,"excuse  me, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
283,her  on  mother's  day. ,0,neutral,0.025761,0.878985,0.031554,0.030846,0.043787
284,"No, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
285,"that, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
286,"I  resented  that  because  that  says, ",0,neutral,0.357818,0.148391,0.135538,0.123494,0.153961
