,word,sentiment_score,sentiment_label,sadness,joy,fear,disgust,anger
48,"landscape  business, ",0,neutral,0.160005,0.486984,0.028546,0.107589,0.039705
49,it's  not  working  up  very  well. ,-0.923726,negative,0.666885,0.140699,0.214785,0.012776,0.012651
50,That  is  to  his  advantage  to  get  a  job. ,0,neutral,0.136667,0.211169,0.108758,0.055936,0.148878
51,"Well, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,"first  of  all, ",0,neutral,0.0,0.0,0.0,0.0,0.0
53,I  don't  think  he  letting  you  see  everything. ,0,neutral,0.1568,0.298533,0.115949,0.104658,0.103175
54,He  won't  let  you  even  see  his  income  tax  return. ,0,neutral,0.057282,0.13793,0.061287,0.119234,0.035831
55,"that's, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
56,"and  he  may  be  making  money  out  of  there, ",0,neutral,0.101239,0.33616,0.167289,0.167689,0.144779
57,but  he's  not  letting  to  know  about ,-0.73775,negative,0.238554,0.076666,0.093798,0.058437,0.09364
58,it. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59,He  may  be  losing  money  because  he's  not  keeping  track  of  his  expenses  for  to  start ,-0.693417,negative,0.341286,0.047949,0.264392,0.152223,0.462143
60,away. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61,I  take  it  Susan ,0,neutral,0.158492,0.107851,0.120557,0.089638,0.129268
62,with  me. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63,We'll  let  you  help. ,0.802477,positive,0.092544,0.246037,0.043244,0.024676,0.050839
64,"You  know, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
65,but  he  won't. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
66,"Well, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
67,"but  don't  you  think  that  once  we  get, ",-0.502281,negative,0.374017,0.145149,0.148712,0.07146,0.314488
68,"we  could  get  his, ",0,neutral,0.323025,0.145294,0.125927,0.044524,0.138159
69,"once  we  get  his  confidence  that  that's  what  I'm  trying  to  get  rather  than  antagonize  what  I'm  trying  to  get  his  confidence  because  I  think, ",0.661288,positive,0.182533,0.616351,0.192859,0.012191,0.070262
70,I  don't  think  he'd  do  anything  that ,-0.783854,negative,0.198397,0.055531,0.122622,0.057229,0.167661
71,ain't  helping  your  mouth  feel  that  that's  the  best  way  to  do  that. ,-0.67583,negative,0.05187,0.709714,0.081812,0.11083,0.070366
72,He  could  help  us. ,0,neutral,0.135428,0.128722,0.07677,0.018739,0.019723
73,"He's  not  helping  us, ",-0.957072,negative,0.148831,0.179551,0.091248,0.074744,0.088473
74,he's  helping  us  in  a  way  that  he's  speaking  the  monthly  payment  learning  to  me  that's  help  and  I'm  trying  to  get  him  to  go  out  and  get  a  job. ,0.851989,positive,0.107669,0.153522,0.076074,0.014395,0.083622
75,Maybe  he  could. ,0,neutral,0.256247,0.109549,0.191589,0.046748,0.084081
76,He  wants  to  get  a  job. ,0,neutral,0.241081,0.11492,0.133562,0.06602,0.148454
77,<inaudible>  so  negative  on  your  part. ,-0.969337,negative,0.257387,0.159253,0.078465,0.017878,0.050699
78,"Why  don't  you  tell  you  can't  work  on  the  negative  with  a  negative  attitude  like  that, ",-0.913159,negative,0.757579,0.056752,0.150536,0.025453,0.034034
79,that  he  can't  get  a  job. ,-0.732943,negative,0.152058,0.15648,0.10075,0.06093,0.117244
80,He  can't  do  this. ,-0.795571,negative,0.0,0.0,0.0,0.0,0.0
81,He  can't  do  that. ,-0.742868,negative,0.0,0.0,0.0,0.0,0.0
82,"I  mean, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
83,come  on. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
84,Why  don't  you  go  to ,-0.762924,negative,0.148831,0.179551,0.091248,0.074744,0.088473
85,again  in  four  years? ,0,neutral,0.235306,0.362616,0.066247,0.036108,0.058152
86,"he  has  that  <inaudible>  he  has  that  attitude  that  the  only  kind  of  work  that, ",-0.585067,negative,0.131116,0.595708,0.020895,0.032645,0.151756
87,"uh, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
88,"that's  available  on  the  <inaudible>  the  best, ",0.866957,positive,0.005004,0.423131,0.005244,0.000269,0.003864
89,the  only  kind  of  work  that  is  good  is  the  construction. ,0.699572,positive,0.109771,0.689857,0.076419,0.015087,0.044313
90,"And  uh, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
91,I  think  he's  convinced  now  that  you  can  just  get  a  good  construction  job  anytime. ,0.946422,positive,0.084083,0.500529,0.149665,0.044973,0.063119
92,"So  I  think  we  have  to  break  him  that  with, ",0,neutral,0.584238,0.025054,0.310569,0.108898,0.214878
93,"uh, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
94,from  that  habit. ,0,neutral,0.0,0.0,0.0,0.0,0.0
95,"And  if  we  could  help  him  get, ",0,neutral,0.196183,0.075633,0.0543,0.007767,0.02363
96,"uh, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
97,"well  maybe, ",0,neutral,0.176442,0.260083,0.135854,0.040177,0.062579
98,"maybe  he  could  get  a  construction  job  with  all  the, ",0,neutral,0.272027,0.104702,0.157397,0.046009,0.119915
99,"this  work  that  is  happening  over  in  the Middle East, ",0,neutral,0.382011,0.07261,0.206358,0.057394,0.143114
100,"I'm  pretty  sure  that  the a hundred billion dollars  worth  of  construction  is  gonna  take  place  in, ",0.883111,positive,0.254947,0.581134,0.079305,0.045959,0.073077
101,in  the Middle East. ,0,neutral,0.233414,0.09083,0.133129,0.112432,0.184092
102,I'm  pretty  sure  that  a  lot  of  the  u  s  people  will  be  hired  from  here  to  go  there. ,0.76752,positive,0.487617,0.251382,0.164943,0.154178,0.062938
103,So  they  need  somebody  to  replace  those  people. ,0,neutral,0.579175,0.026992,0.050585,0.252614,0.384426
104,Who  knows? ,0,neutral,0.0,0.0,0.0,0.0,0.0
105,He  might  go  over  there  himself. ,0,neutral,0.231537,0.133516,0.397424,0.117667,0.081426
106,I  doubt  it. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
107,"But  anyway, ",0.748971,positive,0.0,0.0,0.0,0.0,0.0
108,I'll  give  it  a  try. ,0,neutral,0.180543,0.347591,0.111227,0.047788,0.100472
109,Yeah. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110,But  I  can  guarantee  you  it  won't  work. ,-0.723981,negative,0.703402,0.053304,0.172036,0.018471,0.038213
111,One. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
112,I  can  guarantee  you  that  I  can  guarantee  you  four  years  from  now  it  will  be  in  the  same  boat. ,0.857163,positive,0.188493,0.240744,0.160924,0.027702,0.173835
113,Yeah. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
114,We  don't  help  them. ,-0.825768,negative,0.148831,0.179551,0.091248,0.074744,0.088473
115,"If  we  don't  try  out, ",0,neutral,0.148831,0.179551,0.091248,0.074744,0.088473
116,what  are  we  going  to  lose? ,0,neutral,0.712981,0.008816,0.25113,0.099425,0.187225
117,lose  more. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
118,I'm  going  to  get  more  frustrated  while ,-0.885617,negative,0.20116,0.035957,0.125065,0.076489,0.771008
119,I'm  in  frustration. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
120,"Either  frustration, ",-0.819047,negative,0.102134,0.019182,0.052494,0.013885,0.41709
121,whether  you  opt  in  or  not. ,0,neutral,0.036106,0.370382,0.127255,0.016613,0.058828
122,So  why  not  have  try  to  help  him  to  help  us? ,-0.67614,negative,0.070885,0.201866,0.0419,0.020738,0.042617
123,They're  frustrated ,-0.966973,negative,0.0,0.0,0.0,0.0,0.931034
124,because  they  don't  even  pay  attention  to  us. ,-0.788226,negative,0.605752,0.053227,0.097835,0.027811,0.072885
125,well. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
126,"And  the  way  that  they  talked  to  me  on  the  phone, ",0,neutral,0.232138,0.163676,0.145454,0.089053,0.1833
127,I  don't  like  it. ,-0.746849,negative,0.514253,0.078317,0.074223,0.058103,0.126859
128,They  don't  even  return  our  phone  calls. ,-0.636227,negative,0.414492,0.040628,0.366853,0.136691,0.119108
129,honey. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130,"But  if  we, ",0.600045,positive,0.0,0.0,0.0,0.0,0.0
131,"put  the  daughter  to  lie  on  the  phone  to  us, ",0,neutral,0.319724,0.020701,0.128282,0.379461,0.44942
132,"if  we  know  like  that, ",0,neutral,0.196788,0.244422,0.083297,0.090018,0.090275
133,"if  we, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
134,"if  we  do  something  that  will  frustrate  them, ",-0.848384,negative,0.265076,0.014767,0.094758,0.021419,0.680349
135,"the  whole  thing  and  just  cut  communication  between  us  and  them, ",0,neutral,0.556023,0.157141,0.110947,0.100096,0.195121
136,that's  even  worse. ,-0.971028,negative,0.687658,0.008417,0.218923,0.239144,0.172995
137,What  recourse  do  you  have? ,0,neutral,0.0,0.0,0.0,0.0,0.0
138,You  don't  have  any  records. ,0,neutral,0.048795,0.366276,0.067792,0.026996,0.19429
139,"You  can't  go  to  the  authorities  and  say, ",-0.581244,negative,0.358743,0.242405,0.108829,0.066139,0.091494
140,"Hey, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
141,you  owe  me  so  well. ,0.928489,positive,0.078453,0.447543,0.076987,0.052286,0.05859
142,I  think  we  should  have  never  let  them. ,-0.754129,negative,0.246191,0.120521,0.296772,0.152281,0.182949
143,"Well, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
144,"I  mean  that's  water  under  the  bridge, ",0,neutral,0.232529,0.291501,0.165401,0.167374,0.123949
145,you  know? ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
146,That's  okay. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
147,we'll  see  them  tomorrow. ,0,neutral,0.149625,0.309742,0.184833,0.027397,0.029007
148,I  bet  they're  don't  show  up  tomorrow. ,-0.875441,negative,0.062966,0.2551,0.239023,0.188065,0.101377
149,"I  bet  they're  gonna  avoid  us  tomorrow, ",-0.943667,negative,0.146114,0.044336,0.457786,0.271943,0.232141
150,They're  going  to  there. ,0,neutral,0.0,0.0,0.0,0.0,0.0
151,We're  going  to  their  house. ,0,neutral,0.141614,0.215504,0.370456,0.040601,0.18723
152,I  know. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
153,"And  I  bet  they  won't  even  be  there, ",-0.852299,negative,0.434276,0.114297,0.06887,0.22075,0.120098
154,How  can  you  be  so  negative? ,0,neutral,0.916667,0.0,0.0,0.0,0.0
155,You  can  be  that  negative. ,0,neutral,0.916667,0.0,0.0,0.0,0.0
156,ask  me. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
157,I  don't  know  why  he  asked  me  that. ,-0.817109,negative,0.263417,0.130055,0.110424,0.067921,0.196006
158,Maybe  he  knows  something. ,0,neutral,0.186839,0.12062,0.172553,0.049278,0.095105
159,"Oh, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
160,"well  yeah, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
161,"I  guess  he  knows  that, ",0,neutral,0.534951,0.088799,0.172773,0.027097,0.069509
162,"uh, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
163,when  they  saw  the  house  I  was  a  mistake. ,-0.94469,negative,0.368818,0.089158,0.49069,0.150647,0.192971
164,"And  then  when  they  move  out, ",0,neutral,0.0,0.0,0.0,0.0,0.0
165,"when  they  rented  that  house  and  then  they  move  out  back  to  the  little  water  where  they  are  now, ",0,neutral,0.31803,0.218793,0.345948,0.115129,0.190031
166,"I  guess  that  confirms  that, ",0,neutral,0.195525,0.102809,0.101957,0.010099,0.005823
167,"uh, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
168,"they're  financially  on  the  train  because  you  know, ",0,neutral,0.186039,0.110363,0.063625,0.136656,0.18126
169,"from  having  a  house  to  renting  a  house, ",0,neutral,0.131647,0.313156,0.395646,0.066088,0.180003
170,"then  coming  back  to  the  apartment, ",0,neutral,0.328161,0.325486,0.114739,0.255308,0.065589
171,"that's, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
172,"that's, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
173,that's  an  upgrade. ,0,neutral,0.0,0.0,0.0,0.0,0.0
174,"That's  a  degas, ",0.717546,positive,0.0,0.0,0.0,0.0,0.0
175,that's  a  down  a  downgrade. ,0,neutral,0.0,0.0,0.0,0.0,0.0
176,"And  maybe  that's  what  Joel's, ",0,neutral,0.171746,0.111372,0.138093,0.060617,0.087176
177,"uh, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
178,"he  said  that, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
179,"um, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
180,"oh, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
181,"I, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
182,"I  said  that  Connie  said  that, ",0,neutral,0.566117,0.115393,0.14513,0.183805,0.173793
183,"um, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
184,he  was  gonna  try  and  get  a  buyer. ,0,neutral,0.419727,0.085843,0.239384,0.0344,0.199566
185,"Oh, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
186,"he  had  a  buyer  for  them  and  he  said, ",0,neutral,0.473493,0.169731,0.047619,0.060327,0.068392
187,"oh  yeah, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
188,"I  told  her  not  to  push  the  guy  because  the  guy  is  a  type  of  guy  that  if  he  wants  it, ",-0.624092,negative,0.355719,0.064676,0.064979,0.247475,0.303953
189,he'll  do  it. ,-0.739848,negative,0.0,0.0,0.0,0.0,0.0
190,"If  he  doesn't  and  if  he  wants  it  and  you  push  him  that  he  won't  do  it, ",-0.659078,negative,0.535381,0.046743,0.144444,0.082603,0.244313
191,they'll  just  balk. ,-0.754751,negative,0.0,0.0,0.0,0.0,0.0
192,"And  uh, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
193,"this weekend  there  was  a  big  grade, ",0,neutral,0.175347,0.609591,0.078661,0.101273,0.078778
194,"this  guy's  from  Napa, ",0,neutral,0.253566,0.234987,0.085133,0.192001,0.183925
195,"I  think  she, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
196,"he  said  it  someplace  in  Napa, ",0,neutral,0.267939,0.179979,0.111756,0.10953,0.119837
197,"um, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
198,"because  of  the  big  rains, ",0,neutral,0.333204,0.067946,0.615653,0.020291,0.067296
199,"uh, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
200,his  land  or  someplace  was  all  flooded  and  all  that. ,-0.510357,negative,0.203313,0.112943,0.430133,0.031494,0.370936
201,So  he  didn't  have  time  this weekend  or  it  was  too  busy. ,-0.944432,negative,0.386676,0.350488,0.197672,0.00246,0.047218
202,"Anyway, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
203,he  didn't  show  up. ,-0.602361,negative,0.151545,0.174219,0.093654,0.072945,0.08686
204,"if  I, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
205,he  doesn't  even  know  for  sure  whether  the  guy's  interested ,0,neutral,0.179771,0.490929,0.048393,0.025095,0.092105
206,or  he  just ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
207,"said  that  he  might  come  down  this weekend  to  look  at  it, ",-0.473967,negative,0.116068,0.606087,0.148826,0.018589,0.06875
208,"to  look  at  the  boat, ",0,neutral,0.041229,0.230823,0.346005,0.072371,0.202944
209,"but  hit  Asia  ups  on  this  because  you  know, ",0,neutral,0.386194,0.095547,0.242722,0.086516,0.135343
210,there  was  flooding  and  so  he  might  not  even  show  up  around  period. ,-0.764364,negative,0.439134,0.056147,0.208213,0.040496,0.080811
211,I  don't  know. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
212,"So  that  might  be  just, ",0,neutral,0.0,0.0,0.0,0.0,0.0
213,"Well, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
214,whatever. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
215,I  did  not  work  out  at  all. ,-0.902992,negative,0.70601,0.051538,0.26004,0.022729,0.026903
216,say  I  want  to  try  helping  him. ,0,neutral,0.282896,0.119973,0.131306,0.039398,0.112739
217,Okay. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
218,Maybe  get  a  job. ,0,neutral,0.210558,0.117619,0.142494,0.057261,0.135914
219,fine. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
220,remember  you  also  helped  Joe  set  up  all  this  books  and  everything  and  nothing  happened  out  of  that  either. ,0.856535,positive,0.223778,0.521491,0.050182,0.009268,0.048257
221,It ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
222,"just  runs  in  the  island  island  fever, ",0,neutral,0.461474,0.08912,0.289822,0.019959,0.047298
223,I  guess  you  call  it. ,0,neutral,0.577332,0.075312,0.165853,0.046826,0.098888
224,you  can't  go  live  on  that. ,-0.777782,negative,0.151545,0.174219,0.093654,0.072945,0.08686
225,"Well, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
226,okay. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
227,I  just  want  to  see  something  come  out  of  it ,0,neutral,0.171651,0.272666,0.200849,0.127389,0.187634
228,"being  negative, ",-0.716454,negative,0.916667,0.0,0.0,0.0,0.0
229,like  that  doesn't  help  at  all. ,-0.913637,negative,0.143663,0.561906,0.056008,0.12145,0.073438
230,"I  mean, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
231,because  he  needs  help  from  both  of  us. ,0,neutral,0.152234,0.090402,0.122267,0.081799,0.073974
232,"and  if  you  have  that  attitude  right  away, ",0,neutral,0.066351,0.185857,0.071868,0.105017,0.169952
233,it's  just ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
234,I've  been  helping  him. ,0.912782,positive,0.0,0.880435,0.0,0.0,0.0
235,I've  been  sending  all  these  ads  to  him. ,0.245713,positive,0.042317,0.066632,0.055826,0.150599,0.143659
236,Yeah. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
237,Okay. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
238,"But  don't  you  think  that  at  one  point, ",0,neutral,0.329767,0.170701,0.08667,0.055295,0.220166
239,"maybe  with  any, ",0,neutral,0.0,0.0,0.0,0.0,0.0
240,"you  know, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
241,it's  not  effective  to  sending  it  to  him? ,-0.779621,negative,0.083687,0.053467,0.079967,0.049035,0.133455
242,I  have  to  do  the  apply. ,0,neutral,0.0,0.0,0.0,0.0,0.0
243,I  can't  do  that. ,-0.841529,negative,0.0,0.0,0.0,0.0,0.0
244,Virginia. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
245,"But  if  we, ",0.600045,positive,0.0,0.0,0.0,0.0,0.0
246,"if  we  could  show  him  that  there  is  a  way  to  approach  the  apple  app  application  for  a  job  and  the  interview, ",0.752204,positive,0.131118,0.207784,0.098529,0.062482,0.016908
247,maybe  that  will  help  loud. ,0,neutral,0.02897,0.386477,0.018034,0.015469,0.310499
248,Maybe  he's  doing  something  wrong  and  that's  why  he  can't  get  a  job. ,-0.902839,negative,0.431963,0.050222,0.407761,0.096264,0.16905
249,You  know? ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
250,"I'm  pretty  sure  that  this  job  that  I  got, ",0.915474,positive,0.302576,0.297396,0.130858,0.178598,0.097333
251,"uh, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
252,"after  talking  to  Kay, ",0,neutral,0.229416,0.130173,0.151198,0.092774,0.139378
253,"if  I  didn't  send  my  resume  and  assured  letter  telling  her  what  I, ",-0.763155,negative,0.067693,0.02626,0.132699,0.0504,0.073941
254,"the  experience  that  I  have, ",0,neutral,0.192455,0.113969,0.088527,0.04175,0.119746
255,I  don't  think  I  would  have  gotten  the  job. ,-0.781386,negative,0.216845,0.099288,0.235886,0.166639,0.099899
256,But  I  think  the  fact  that  I  send  that ,0.748702,positive,0.253467,0.087019,0.210231,0.201409,0.260224
257,short  resume  and ,0,neutral,0.060692,0.017542,0.222369,0.078866,0.02847
258,"yeah, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
259,she  didn't  ask  me  for  the  letter. ,0,neutral,0.348922,0.112537,0.264465,0.036818,0.050295
260,well  maybe  he  doesn't  come  through  with  whatever  they  asked  him. ,0,neutral,0.186311,0.407326,0.090259,0.03039,0.202137
261,Well ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
262,he  doesn't  call  them  honey. ,0,neutral,0.069044,0.711838,0.018991,0.046673,0.021799
263,"That's  exactly, ",0,neutral,0.0,0.0,0.0,0.0,0.0
264,Well  that's  exactly  my  point. ,0,neutral,0.21346,0.439605,0.045556,0.047838,0.122064
265,I  think  we  have  to  convince  him  that  a  $15  an hour  job  is  better  than  nothing. ,-0.35108,negative,0.142517,0.559027,0.099653,0.025155,0.121415
266,"are  no  59  tabs, ",0,neutral,0.151545,0.174219,0.093654,0.072945,0.08686
267,"15,000  hour  champs. ",0,neutral,0.228473,0.278799,0.149535,0.104732,0.177118
268,"This  lesson  that, ",-0.316773,negative,0.0,0.0,0.0,0.0,0.0
269,"okay, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
270,"$10  an hour  job  is  better  than  nothing  because  from  there  you  bill, ",0.272418,positive,0.080619,0.500085,0.037661,0.033049,0.182983
271,I  think  he  better  be  satisfied  with  that  period. ,0.841848,positive,0.13079,0.446828,0.133209,0.053417,0.06953
272,No  building. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
273,"Well  she, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
274,I  don't  see  why  you're  so  negative. ,-0.889866,negative,0.110081,0.127766,0.136296,0.082699,0.126743
275,"Well, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
276,"what  do  you  mean  there  you, ",0,neutral,0.0,0.0,0.0,0.0,0.0
277,there's  no  building  from  a  $10  job. ,0,neutral,0.109001,0.139076,0.097285,0.047792,0.075182
278,C'Mon. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
279,You  could  work  your  way  up  if  you  have  any. ,0,neutral,0.260416,0.266008,0.164644,0.049261,0.09666
280,"And  you  know, ",0,neutral,0.0,0.0,0.0,0.0,0.0
281,"he  has  the  years, ",0,neutral,0.0,0.0,0.0,0.0,0.0
282,"the  intelligence, ",0,neutral,0.0,0.0,0.0,0.0,0.0
283,"he  may  not  have  the  patience, ",0,neutral,0.151545,0.174219,0.093654,0.072945,0.08686
284,but  he  may  have  too. ,0,neutral,0.0,0.0,0.0,0.0,0.0
285,That's  another  thing  here. ,0,neutral,0.241135,0.268668,0.184138,0.094459,0.190166
286,He  may  have  to  change  his  attitude  and  keeping  a  job. ,0,neutral,0.099812,0.371223,0.065344,0.056211,0.136213
